Season,Episodes,DVD release dates,DVD release dates,DVD release dates,DVD release dates
Season,Episodes,Region 1,Region 2,Region 4,Discs
1,12,"May 1, 2012[139]","April 30, 2012[140]","June 7, 2012[141]",3
2,16,"May 28, 2013[142]","May 13, 2013[143]","February 13, 2014[144]",4
3,16,"May 27, 2014[145]","June 9, 2014[146]","October 2, 2014[147]",4
4,16,"April 28, 2015[148]","June 8, 2015[149]","August 5, 2015",4
5,16,"May 31, 2016[150]",—,—,4
6,16,"May 30, 2017",—,—,—
7,16,"May 29, 2018",—,—,—
8,16,"June 11, 2019",—,—,—
9,10,"December 10, 2019",—,—,—
